Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Revista Otarq: Otras arqueologías,,2530-4933,Spanish,JAS Arqueología,No,CC BY-NC-ND,No
Refleksi Edukatika,2087-9385,2528-696X,Indonesian,Universitas Muria Kudus,No,CC BY,No
Клиническая и экспериментальная тиреоидология,1995-5472,2310-3787,Russian,Endocrinology Research Centre,No,CC BY-NC-ND,No
Acta Logistica,,1339-5629,English,"4S go, s.r.o.",No,CC BY-NC,Yes
تربیت اسلامی,1735-4536,2588-4611,Persian,Research Institute of Hawzah and University,No,CC BY-ND,No
Journal of European Psychology Students,,2222-6931,English,European Federation of Psychology Students' Associations,Yes,CC BY,Yes
Journal of Comparative Social Work,,0809-9936,English,University of Stavanger,No,CC BY-SA,No
Jurnal Kimia Valensi,2460-6065,2548-3013,Indonesian,Syarif Hidayatullah Jakarta State Islamic University,No,CC BY-SA,Yes
Brazilian Political Science Review,,1981-3821,English,Brazilian Political Science Association,No,CC BY,Yes
Cuadernos del Hipogrifo,,2420-918X,"Spanish, Italian",Università Degli Studi Guglielmo Marconi,No,CC BY,No
Journal of the Southeast Asian Linguistics Society,,1836-6821,English,University of Hawaii Press,No,CC BY-NC-ND,No
Anduli,1696-0270,2340-4973,Spanish,Universidad de Sevilla,No,CC BY-NC-SA,No
Acta Brasiliensis,2526-432X,2526-4338,Portuguese,Universidade Federal de Campina Grande,No,CC BY,No
مطالعات اجتماعی روان‌شناختی زنان,2538-2926,2538-2934,Persian,Alzahra University,No,CC BY-NC-ND,Yes
Spanish Journal of Marketing-ESIC,2444-9695,2444-9709,English,Emerald Publishing,No,CC BY,No
Jema: Jurnal Ilmiah Bidang Akuntansi dan Manajemen,1693-7864,2597-4017,English,Universitas Islam Malang,No,CC BY,Yes
Journal of Work and Organizational Psychology,1576-5962,2174-0534,"English, Spanish",Colegio Oficial de Psicólogos de Madrid,No,CC BY-NC-ND,No
Emerging Science Journal,,2610-9182,English,Ital Publication,No,CC BY,Yes
Komunitas: International Journal of Indonesian Society and Culture,2460-7312,2460-7320,"Indonesian, English",Universitas Negeri Semarang,No,CC BY,No
Linguistics in Amsterdam,,1878-4569,"Spanish, English, Dutch",Amsterdam Centre for Language and Communication,No,CC BY-NC-ND,No
Okara: Jurnal Bahasa dan Sastra,1907-624X,2442-305X,"Arabic, English","Center of Language Development, Institut Agama Islam Negeri (IAIN) Madura",No,CC BY-NC,No
Journal of Education and Community Health,,2383-2312,Persian,Hamadan University of Medical Sciences,No,CC BY-NC,No
Intuisi,2086-0803,2541-2965,Indonesian,Universitas Negeri Semarang,No,CC BY,No
Dinamika Pendidikan,1907-3720,2502-5074,"Indonesian, English",Universitas Negeri Semarang,No,CC BY,No
"Jurnal Ekonomi, Bisnis dan Entrepreneurship",2443-0633,2443-2121,Indonesian,Sekolah Tinggi Ilmu Ekonomi (STIE) Pasundan,No,CC BY-NC,No
Journal of Airline and Airport Management,2014-4865,2014-4806,English,OmniaScience,No,CC BY,No
Jurnal Penelitian Pendidikan,1412-565X,,Indonesian,Universitas Pendidikan Indonesia,No,CC BY-SA,Yes
GeSec,,2178-9010,"Spanish, Portuguese, English",Sindicato das Secretárias do Estado de São Paulo,No,CC BY-NC-ND,No
Buletin Peternakan,0126-4400,2407-876X,"English, Indonesian",Universitas Gadjah Mada,No,CC BY-SA,Yes
Iqtishoduna: Jurnal Ekonomi Islam,2252-5661,2443-0056,Indonesian,Institut Agama Islam Syarifuddin,No,CC BY,No
Sosial Budaya,1979-2603,2407-1684,"English, Indonesian",LPPM UIN Sultan Syarif Kasim Riau,No,CC BY,No
Literatura em Debate,,1982-5625,"English, Portuguese, Spanish",Universidade Regional Integrada do Alto Uruguai e das Missões,No,CC BY,No
Amazônia,1980-5128,2317-5125,"Portuguese, Spanish",Universidade Federal do Pará,No,CC BY,No
Journal of Modern Power Systems and Clean Energy,,2196-5420,English,IEEE,No,"CC BY, CC BY-NC-ND",No
Nihon Shouni Jinzoubyou Gakkai zasshi,0915-2245,1881-3933,"English, Japanese",The Japanese Society for Pediatric Nephrology,No,CC BY-NC-SA,No
Focaal,0920-1297,1558-5263,English,Berghahn Books,No,"CC BY, CC BY-ND, CC BY-NC-ND",No
Sensors and Materials,0914-4935,2435-0869,English,MYU,No,CC BY,Yes
European Journal of Mineralogy,0935-1221,1617-4011,English,Copernicus Publications,Yes,CC BY,Yes
Journal of Advanced Guidance and Counseling,2746-1513,2746-1521,English,"UIN Walisongo Semarang, Fakultas Dakwah dan Komunikasi",No,CC BY-NC-SA,No
Community Eye Health Journal,0953-6833,1993-7288,English,"International Centre for Eye Health (ICEH), London",No,CC BY-NC,No
Ilha do Desterro,0101-4846,2175-8026,"English, Portuguese",Universidade Federal de Santa Catarina,No,CC BY,No
New Zealand Journal of Forestry Science,0048-0134,1179-5395,English,Scion,No,CC BY,No
Revista de Ciencias Economicas,0252-9521,2215-3489,"English, Spanish",Universidad de Costa Rica,No,CC BY-NC-ND,No
Kronos,0259-0190,2309-9585,English,"University of the Western Cape, Centre for Humanities Research and the History Department",No,CC BY-SA,No
Revista Brasileira de Saúde Ocupacional,0303-7657,2317-6369,"English, Portuguese",Fundacentro,No,CC BY,No
Revista de la Facultad de Ciencias Agrarias,0370-4661,1853-8665,"English, Spanish",Facultad de Ciencias Agrarias. Universidad Nacional de Cuyo,No,CC BY-NC-SA,Yes
Journal of Dairy Science,0022-0302,1525-3198,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Estudos de Religião,0103-801X,2176-1078,"Spanish, Portuguese",Universidade Metodista de São Paulo,No,CC BY,No
Affectio Societatis,0123-8884,,"Portuguese, Spanish",Universidad de Antioquia,No,CC BY-NC-SA,No
Revista de la Facultad de Ciencias,0121-747X,2357-5549,Spanish,"Universidad Nacional de Colombia, sede Medellín",No,CC BY-NC-ND,No
Anthropology in Action,0967-201X,1752-2285,English,Berghahn Books,No,"CC BY, CC BY-ND, CC BY-NC-ND",No
Exilium,,2675-6188,"Italian, French, English, Spanish, Portuguese",Universidade Federal de São Paulo,No,CC BY-NC-ND,No
Revista del IICE,0327-7763,2451-5434,"English, Portuguese, Spanish","Facultad de Filosofía y Letras, Universidad de Buenos Aires",No,CC BY-SA,No
RUDN Journal of Studies in Literature and Journalism,2312-9220,2312-9247,"Russian, English",Peoples’ Friendship University of Russia (RUDN University),No,CC BY-NC,No
Journal of Environmental and Science Education,2797-0175,2775-2518,English,Universitas Negeri Semarang,No,CC BY,No
New Diversities,2199-8108,2199-8116,English,Max Planck Institute for the Study of Religious and Ethnic Diversity,No,CC BY,No
Jurnal Tata Kota dan Daerah,2338-168X,2686-5742,"English, Indonesian",Universitas Brawijaya,No,CC BY,No
Assiut Veterinary Medical Journal,1012-5973,2314-5226,English,"Full contents: Assiut University, Faculty of Veterinaty Medicine",No,CC BY,Yes
Research & Politics,,2053-1680,English,SAGE Publishing,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
Археология евразийских степей,2587-6112,2618-9488,"English, Russian",State institution «Tatarstan Аcademy of Sciences»,Yes,CC BY-NC,No
JEBA (Journal of Economics and Business Aseanomics),2527-7499,2528-3634,"Indonesian, English",Lembaga Penelitian Universitas YARSI (LPUY),No,CC BY-SA,No
Bisnis & Birokrasi: Jurnal Ilmu Administrasi dan Organisasi (International Journal of Administrative Sciences & Organization),0854-3844,2355-7826,English,"Faculty of Administrative Science, Universitas Indonesia",No,CC BY-SA,No
Jurnal Teknoinfo,1693-0010,2615-224X,"English, Indonesian",Universitas Teknokrat Indonesia,No,CC BY-SA,Yes
Agroindustrial Technology Journal,2599-0799,2598-9480,"Indonesian, English",Universitas Darussalam Gontor,No,CC BY-NC-SA,No
Jurnal Kajian Seni,2356-296X,2356-3001,"Indonesian, English",Universitas Gadjah Mada,No,CC BY-SA,No
Tạp chí Quản lý và Kinh tế Quốc tế,2615-9848,,Vietnamese,"HDV INSER., JSC",No,CC BY-NC,No
Al-Ma'mun,2723-3596,2746-0509,"Indonesian, English",UPT. Perpustakaan UIN Prof. K.H. Saifuddin Zuhri Purwokerto,No,CC BY,No
Journal of Wildlife and Parks,0127-8126,,English,Department of Wildlife and National Parks Peninsular Malaysia,No,CC BY-NC-SA,No
SciPost Physics Lecture Notes,,2590-1990,English,SciPost,Yes,CC BY,No
Jurnal Riset dan Aplikasi: Akuntansi dan Manajemen,2443-3381,2443-1419,"English, Indonesian",Politeknik Negeri Malang,No,CC BY-SA,Yes
Journal of Islamic Thought and Civilization,2075-0943,2520-0313,English,University of Management and Technology,No,CC BY,No
Trends in Peptide and Protein Sciences,2538-2535,2538-2446,English,Shahid Beheshti University of Medical Sciences,No,CC BY-NC,No
Clinical and Experimental Vaccine Research,2287-3651,2287-366X,English,Seoul : Korean Vaccine Society,No,CC BY-NC,No
Приноси към българската археология,1310-7976,2603-3410,"English, Bulgarian","Bulgarian Academy of Sciences, National Archaeological institute with Museum",No,CC BY-NC-ND,No
Arti dello Spettacolo / Performing Arts,,2421-2679,"English, Italian, French, Russian, Spanish",Universitalia,No,CC BY,No
Revista da Faculdade de Direito da Universidade Federal de Minas Gerais,0304-2340,1984-1841,"French, Spanish, Italian, English, Portuguese","Universidade Federal de Minas Gerais, Faculdade de Direito",No,CC BY-NC,No
Revista Técnica Energía,1390-5074,2602-8492,"English, Spanish",Operador Nacional de Electricidad – CENACE,No,CC BY-NC,No
Skandinaviske Sprogstudier,,1904-7843,English,Royal Danish Library,No,CC BY,No
مهندسی مکانیک دانشگاه تبریز,2228-5148,2783-0772,Persian,University of Tabriz,No,CC BY-NC,Yes
Babali Nursing Research,2776-6993,2721-5989,English,Babali Health,No,CC BY,Yes
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,1981-8122,2178-2547,"Spanish, Portuguese, French, English",Museu Paraense Emílio Goeldi,No,CC BY,No
Латиноамериканский исторический альманах,2305-8773,2713-0282,"Portuguese, Spanish, English, Russian",Russian Academy of Science. Institute of World History,No,CC BY,No
iPolytech Journal,2782-4004,2782-6341,English,Irkutsk National Research Technical University,Yes,CC BY,No
Urogynaecologia International Journal,1121-3086,2038-8314,English,PAGEPress Publications,No,CC BY-NC,No
Meliora,,2767-7052,English,Columbia University Libraries,No,CC BY,No
VacciMonitor,1025-028X,1025-0298,"Spanish, English",Finlay Ediciones,No,CC BY-NC,No
Mutiara Medika,1411-8033,2614-0101,English,Universitas Muhammadiyah Yogyakarta,No,CC BY,Yes
Saliha,2614-1388,2622-7479,"English, Indonesian",STAI Terpadu Yogyakarta,No,CC BY-SA,No
Research in Education and Learning Innovation Archives,,2659-9031,Spanish,Universitat de València,No,"CC BY-ND, CC BY-NC-SA",No
Asatiza,2721-0723,2716-3202,"English, Indonesian",STAI Auliaurrasyidin Tembilahan,No,CC BY-SA,Yes
AIMS Genetics,,2377-1143,English,AIMS Press,No,CC BY,No
Diálogo das Letras,,2316-1795,"Portuguese, English, French, Spanish",Universidade do Estado do Rio Grande do Norte,No,CC BY,No
Advances in Weed Science,,2675-9462,English,Brazilian Weed Science Society,No,CC BY,Yes
Jurnal Nasional Teknik Elektro,2302-2949,2407-7267,"Indonesian, English",Universitas Andalas,No,CC BY-NC-SA,Yes
Biomédica: revista del Instituto Nacional de Salud,0120-4157,2590-7379,"English, Spanish",Instituto Nacional de Salud,No,Publisher's own license,No
Trabalhos em Linguística Aplicada,0103-1813,2175-764X,"English, Portuguese, Spanish",Universidade Estadual de Campinas,No,CC BY,No
Jurnal Pengabdian Multidisiplin,,2775-2097,Indonesian,Kuras Institute,No,CC BY,Yes
Ψυχολογία: το Περιοδικό της Ελληνικής Ψυχολογικής Εταιρείας,1106-5737,2732-6640,"English, Modern Greek (1453-)",National Documentation Center,No,CC BY-SA,No
"Microbes, Infection and Chemotherapy",,2789-4274,English,Universidad Nacional Hermilio Valdizán de Huánuco,No,CC BY,No
Jurnal Sporta Saintika,2502-5651,2579-5910,Indonesian,Jurusan Kesehatan Dan Rekreasi Fakultas Ilmu Keolahragaan Universitas Negeri Padang,No,CC BY-SA,No
Specialusis Ugdymas,1392-5369,2424-3299,"English, Lithuanian",Vilnius University Press,Yes,CC BY,No
Capture,2086-308X,2338-428X,"English, Indonesian","Jurusan Seni Media Rekam, Fakultas Seni Rupa dan Desain, Institut Seni Indonesia (ISI) Surakarta",No,CC BY-SA,Yes
Verbum Christi,2355-6374,2745-6668,"Indonesian, English",Sekolah Tinggi Teologi Reformed Injili Internasional,No,CC BY-NC,No
Actualidad Jurídica Ambiental,,1989-5666,"Spanish, Portuguese, Galician, English",Centro Internacional de Estudios de Derecho Ambiental,No,CC BY-NC-ND,No
Revista de Direito da Faculdade Guanambi,,2447-6536,"French, Italian, Spanish, English, Portuguese",Centro Universitário FG,Yes,CC BY-NC-SA,No
APL Photonics,,2378-0967,English,AIP Publishing LLC,No,CC BY,Yes
Manajemen dan Bisnis,1412-3789,2477-1783,"Indonesian, English","Department of Management, Faculty of Economics and Business, Universitas Surabaya",No,CC BY,No
Argumentos,1984-4247,1984-4255,Portuguese,Universidade Federal do Ceará,No,CC BY,No
Восточная Азия: факты и аналитика,,2686-7702,"English, Russian","Russian Academy of Sciences, Institute of China and Contemporary Asia (ICCA RAS)",No,CC BY,No
Acta Mycologica,0001-625X,2353-074X,English,Polish Botanical Society,Yes,CC BY,Yes
Mistral,,2772-4913,"Spanish, Portuguese, English",University of Groningen Press,No,CC BY-NC-ND,No
Hozen seitaigaku kenkyu,1342-4327,2424-1431,Japanese,The Ecological Society of Japan,No,CC BY,Yes
Social Inclusion,,2183-2803,English,Cogitatio,Yes,CC BY,Yes
Jurnal Informatika,1411-0105,2528-5823,"English, Indonesian",Petra Christian University,No,CC BY,No
Acta Societatis Botanicorum Poloniae,0001-6977,2083-9480,English,Polish Botanical Society,Yes,CC BY,Yes
Ascarya,2798-5083,2775-4243,"English, Indonesian",Perkumpulan Alumni dan Santri Mahyajatul Qurro',No,CC BY-NC,Yes
Jurnal DinamikA,,2723-1410,"English, Indonesian",IAIN Salatiga,No,CC BY-SA,No
Wirapuru,,2452-5901,"Spanish, Portuguese",Ariadna Ediciones,No,CC BY-NC-SA,No
Actas Dermo-Sifiliográficas,0001-7310,1578-2190,"Spanish, English",Elsevier,No,CC BY-NC-ND,Yes
Portuguese Journal of Dermatology and Venereology,2795-501X,2795-5001,English,Permanyer,No,CC BY-NC-ND,No
Journal of Evolutionary Studies in Business,,2385-7137,English,Universitat de Barcelona,No,CC BY-NC,No
Sociedade e Estado,0102-6992,1980-5462,"English, Portuguese, Spanish",Universidade de Brasília,No,CC BY-NC,No
Revista de Teorias da Democracia e Direitos Políticos,,2525-9660,Portuguese,Conselho Nacional de Pesquisa e Pós-graduação em Direito,No,CC BY-NC,No
CHIRONOMUS Journal of Chironomidae Research,0172-1941,2387-5372,"English, Norwegian",NTNU University Museum Norwegian University of Science and Technology,No,CC BY,No
Cirugía Plástica Ibero-Latinoamericana,0376-7892,1989-2055,Spanish,"Sociedad Española de Cirugía Plástica, Reparadora y Estética (SECPRE)",No,CC BY-NC-ND,No
Aturá,,2526-8031,Portuguese,Universidade Federal do Tocantins,No,CC BY-NC,No
JBN (Jurnal Bedah Nasional),2548-5962,2548-981X,"English, Indonesian",Universitas Udayana,No,CC BY,No
Población y Desarrollo,2076-0531,2076-054X,Spanish,Universidad Nacional de Asunción,No,CC BY,No
Biogeographia,1594-7629,2475-5257,English,"eScholarship Publishing, University of California",No,CC BY,No
Львівський клінічний вісник,2306-4269,2520-2898,"English, Russian, Ukrainian","Publishing House ""Kyrylytsya""",No,CC BY-NC-ND,No
Revista Maracanan,1807-989X,2359-0092,Portuguese,Universidade do Estado do Rio de Janeiro,No,CC BY-NC-SA,No
Zurnal hromatograficnogo tovaristva,1729-7192,,"English, Russian, Ukrainian",Taras Shevchenko National University of Kyiv,No,CC BY-NC-ND,No
"Revista de Política Judiciária, Gestão e Administração da Justiça",,2525-9822,Portuguese,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),No,CC BY-NC,No
Revista Interuniversitaria de Formación del Profesorado,0213-8646,2530-3791,Spanish,Universidad de Murcia,No,CC BY,No
Економіка та право,1681-6277,2523-4838,"English, Russian, Ukrainian",PH “Akademperiodyka”,No,CC BY,No
Social Analysis,0155-977X,1558-5727,English,Berghahn Books,No,"CC BY, CC BY-ND, CC BY-NC-ND",No
Psicológica,0211-2159,1576-8597,English,DIGITAL.CSIC,No,"CC BY, CC BY-SA, CC BY-NC, CC BY-NC-SA",No
Revista de Filología Española,0210-9174,1988-8538,Spanish,Consejo Superior de Investigaciones Científicas,No,CC BY,No
Cuadernos de Estudios Gallegos,0210-847X,1988-8333,"Spanish, Galician, French, English",Consejo Superior de Investigaciones Científicas,No,CC BY,No
Ruch Biblijny i Liturgiczny,0209-0872,2391-8497,"Spanish, Russian, Polish, Italian, German, French, English",Polskie Towarzystwo Teologiczne,No,CC BY-NC-ND,No
Anales del Jardín Botánico de Madrid,0211-1322,1988-3196,"Spanish, English",Consejo Superior de Investigaciones Científicas,No,CC BY,No
Studia Historica: Historia Moderna,0213-2079,2386-3889,"Spanish, Italian, English",Ediciones Universidad de Salamanca,No,CC BY-NC-ND,No
Historia de la Educación,0212-0267,2386-3846,"Spanish, Portuguese, Italian, French, English",Ediciones Universidad de Salamanca,No,CC BY-NC-ND,No
Anuario Musical,0211-3538,1988-4125,"Spanish, Portuguese, Italian, German, French, English, Catalan",Consejo Superior de Investigaciones Científicas,No,CC BY,No
"Современные инновации, системы и технологии",2782-2826,2782-2818,"Russian, English",Siberian Scientific Centre DNIT,No,CC BY,No
Cardiology Discovery,2096-952X,2693-8499,English,Wolters Kluwer Health/LWW,No,CC BY-NC-ND,No
Intelligent Medicine,2096-9376,2667-1026,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Journal of Orthopaedic Reports,,2773-157X,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Dialogues in Health,,2772-6533,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Semestre Economico,2072-0572,2523-0840,"Spanish, English",Universidad Nacional del Altiplano,No,CC BY,No
Telematics and Informatics Reports,,2772-5030,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Eclética Química,0100-4670,1678-4618,English,Universidade Estadual Paulista,No,CC BY,No
Архивъ внутренней медицины,2226-6704,2411-6564,Russian,SINAPS LLC,No,CC BY,No
Biomedical Photonics,2413-9432,,Russian,"Non-profit partnership for development of domestic photodynamic therapy and photodiagnosis ""Russian Photodynamic Association""",No,CC BY,No
BRICS Law Journal,2409-9058,2412-2343,"English, Russian",Publshing House V.Ема,No,CC BY,No
EAI Endorsed Transactions on Smart Cities,,2518-3893,English,European Alliance for Innovation (EAI),No,CC BY-NC-SA,No
Ибероамериканские тетради,2409-3416,2658-5219,Russian,Moscow State Institute of International Relations (MGIMO),Yes,CC BY,No
Детские инфекции (Москва),2072-8107,,Russian,"LLC ""Diagnostics and Vaccines""",No,CC BY,No
Antropologías del Sur,0719-4498,0719-5532,"Spanish, Portuguese",Universidad Academia de Humanismo Cristiano,No,CC BY-NC-ND,No
Kemija u Industriji,0022-9830,1334-9090,"English, Croatian",Croatian Society of Chemical Engineers,No,CC BY,No
Scientia Marina,0214-8358,1886-8134,English,Consejo Superior de Investigaciones Científicas,No,CC BY,No
Distúrbios da Comunicação,0102-762X,2176-2724,Portuguese,Pontifícia Universidade Católica de São Paulo,No,CC BY-NC-SA,No
Jurnal MIPA,0215-9945,,"Indonesian, English",Universitas Negeri Semarang,No,CC BY,No
Cultur,,1982-5838,"Spanish, Portuguese, English",Universidade Estadual de Santa Cruz (UESC),No,CC BY-NC-ND,No
Inscriptions,2535-7948,2535-5430,English,Tankebanen forlag,No,CC BY,Yes
DIE ERDE: Journal of the Geographical Society of Berlin,0013-9998,,English,Gesellschaft für Erdkunde zu Berlin,No,CC BY,Yes
Novitates Theriologicae,2709-491X,2709-4928,"English, Ukrainian",Ukrainian Theriological Society,No,CC BY-SA,No
Vikalpa,0256-0909,2395-3799,English,SAGE Publishing,No,"CC BY, CC BY-NC",No
Revista Costarricense de Psicología,0257-1439,1659-2913,"Spanish, Portuguese, English",Colegio Profesional de Psicólogos de Costa Rica,No,CC BY-NC-ND,No
Malacologica Bohemoslovaca,,1336-6939,"Slovak, English, Czech","Department of Botany and Zoology, Faculty of Science, Masaryk University",No,CC BY,No
Journal of Early Childhood Education Research,,2323-7414,"English, Finnish",Early Childhood Education Association Finland,No,CC BY-NC,No
JDE (Journal of Developing Economies),2541-1012,2528-2018,English,Departemen Ilmu Ekonomi Fakultas Ekonomi dan Bisnis Universitas Airlangga,No,CC BY,No
Revija za Sociologiju,0350-154X,1846-7954,"English, Croatian",Hrvatsko sociološko društvo,No,CC BY,No
Glasnik Etnografskog Instituta SANU,0350-0861,2334-8259,"Serbian, English","Institute of Ethnography, SASA, Belgrade",No,CC BY-NC-ND,No
Geološki Anali Balkanskoga Poluostrva,0350-0608,2406-0747,English,"Faculty of Mining and Geology, Belgrade",No,CC BY,No
Fizička Kultura,0350-3828,2217-947X,"English, Serbian","University of Belgrade, Faculty of Sport and Physical Education",No,CC BY,No
Zbornik Radova Pravnog Fakulteta u Nišu,0350-8501,2560-3116,"Serbian, English","Faculty of Law, Niš",No,CC BY-SA,No
Science of Sintering,0350-820X,1820-7413,English,"International Institute for the Science of Sintering, Beograd",No,CC BY,No
Vjesnik Arheološkog muzeja u Zagrebu,0350-7165,1849-1561,"Latin, Italian, German, English, Croatian",Arheološki muzej u Zagrebu,No,CC BY-NC-ND,No
Glasnik Srpskog Geografskog Društva,0350-3593,2406-078X,"Serbian, English",Serbian Geographical Society,No,CC BY-NC-ND,No
Psihološka Istraživanja,0352-7379,2560-306X,"Serbian, English","University of Belgrade, Faculty of Philosophy, Institute of Psychology",No,CC BY-SA,No
Pravni Vjesnik,0352-5317,1849-0840,"English, Croatian","Josip Juraj Strossmayer University of Osijek, Faculty of Law",No,CC BY-NC,No
Acta Stomatologica Naissi,0352-5252,1820-1202,"Serbian, English","Medicinski fakultet i Klinika za stomatologiju, Niš",No,CC BY-SA,No
Turističko Poslovanje,0354-3099,2560-3361,"Serbian, English","Visoka turistička škola strukovnih studija, Beograd",No,CC BY-NC,No
Acta Clinica Croatica,0353-9466,1333-9451,English,"Sestre Milosrdnice University hospital, Institute of Clinical Medical Research",No,CC BY-NC-ND,No
Podzemni Radovi,0354-2904,2560-3337,"Serbian, English","Faculty of Mining and Geology, Belgrade",No,CC BY,No
Festival dell'Architettura Magazine,,2039-0491,"English, Italian",Festival Architettura Edizioni,Yes,CC BY-NC-SA,No
Selekcija i Semenarstvo,0354-5881,2406-209X,"Serbian, English",Serbian Association of Plant Breedings and Seed Producers,No,CC BY-SA,No
Marketing (Beograd. 1991),0354-3471,2334-8364,"Serbian, English",Srpsko udruženje za marketing,No,CC BY-SA,No
Токови историје,0354-6497,2560-547X,"Serbian, English, Croatian",Institut za noviju istoriju Srbije,No,CC BY-NC-ND,No
Zbornik Radova Filozofskog Fakulteta u Prištini,0354-3293,2217-8082,"Serbian, English","Faculty of Philosophy, Kosovska Mitrovica",No,CC BY-NC,No
Arhitektura i Urbanizam,0354-6055,2217-8074,Serbian,Institute of Architecture and Urban and Spatial Planning of Serbia,No,CC BY-SA,No
Facta Universitatis. Series: Economics and Organization,0354-4699,2406-050X,English,University of Niš,No,CC BY-NC-ND,No
"NBP: Nauka, bezbednost, policija",0354-8872,2620-0406,"English, Serbian","University of Criminal Investigation and Police Studies, Belgrade",No,CC BY,No
Estudios Geologicos,0367-0449,1988-3250,"Spanish, French, English",Consejo Superior de Investigaciones Científicas,No,CC BY,No
Geographica Pannonica,0354-8724,1820-7138,English,"University of Novi Sad, Department of Geography, Tourism and Hotel Management",No,CC BY,No
Acta Agriculturae Serbica,0354-9542,2560-3140,"Serbian, English","University of Kragujevac, Faculty of Agronomy, Cacak",No,CC BY,No
Geotecnia,0379-9522,2184-8394,"Spanish, Portuguese",Universidade de Coimbra,No,CC BY,No
Statistica,0390-590X,1973-2201,English,University of Bologna,No,CC BY,No
Materiales de Construccion,0465-2746,1988-3226,"Spanish, English",Consejo Superior de Investigaciones Científicas,No,CC BY,No
Hrvatski Dijalektološki Zbornik,0439-691X,2459-4849,"Ukrainian, Slovenian, Slovak, Russian, Macedonian, English, Croatian",Hrvatska akademija znanosti i umjetnosti,No,CC BY-NC,No
Nastava i Vaspitanje,0547-3330,2560-3051,"Serbian, English",Pedagoško društvo Srbije i Institut za pedagogiju i andragogiju Filozofskog fakulteta Univerziteta u Beogradu,No,CC BY-SA,No
Narodna Umjetnost,0547-2504,1848-865X,"English, Croatian",Institute of Ethnology and Folklore Research,No,Publisher's own license,No
European Journal of Pharmaceutical Sciences,0928-0987,1879-0720,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Безопасность техногенных и природных систем,,2541-9129,Russian,Don State Technical University,Yes,CC BY,No
Journal of Human Growth and Development,0104-1282,2175-3598,"English, Portuguese",Universidade de São Paulo,No,Publisher's own license,No
Forma y Función,0120-338X,2256-5469,"English, Portuguese, Spanish",Universidad Nacional de Colombia,No,CC BY-NC-ND,No
Literatura Mexicana,0188-2546,2448-8216,Spanish,Universidad Nacional Autónoma de México,No,CC BY-NC,No
Infectio,0123-9392,,"English, Spanish",Asociación Colombiana de Infectología,No,CC BY-NC-ND,Yes
Estudios Sociales,0188-4557,2395-9169,Spanish,Centro de Investigación en Alimentación y Desarrollo,No,CC BY-NC,No
Anales de Antropología,0185-1225,2448-6221,Spanish,Universidad Nacional Autónoma de México,No,CC BY,No
Estudios Gerenciales,0123-5923,,Spanish,Universidad ICESI,No,CC BY,No
Publica,2085-6555,2715-9256,English,"FISIP UIN Sunan Gunung Djati Bandung, Jurusan Administrasi Publik",No,CC BY-SA,No
Brown Journal of Hospital Medicine,,2831-5553,English,"Department of Medicine, Warren Alpert Medical School at Brown University",Yes,CC BY-NC,Yes
Pteridines,0933-4807,2195-4720,English,De Gruyter,No,CC BY,Yes
South African Journal of Agricultural Extension,0301-603X,2413-3221,English,SASAE - South African Society for Agricultural Extension,No,CC BY,Yes
RUDN Journal of Ecology and Life Safety,2313-2310,2408-8919,"English, Russian",Peoples’ Friendship University of Russia (RUDN University),No,CC BY-NC,No
Discrete and Continuous Models and Applied Computational Science,2658-4670,2658-7149,English,Peoples’ Friendship University of Russia (RUDN University),Yes,CC BY-NC,No
Высшее образование в России,0869-3617,2072-0459,"English, Russian",Moscow Polytechnic University,Yes,CC BY,No
"Training, Language and Culture",2520-2073,2521-442X,English,Peoples’ Friendship University of Russia (RUDN University),No,CC BY-NC,No
Polylinguality and Transcultural Practices,2618-897X,2618-8988,"Russian, English",Peoples’ Friendship University of Russia (RUDN University),No,CC BY-NC,No
Russian Journal of Linguistics,2687-0088,2686-8024,"Russian, English",Peoples’ Friendship University of Russia (RUDN University),No,CC BY-NC,No
Russian Language Studies,2618-8163,2618-8171,"English, Russian",Peoples’ Friendship University of Russia (RUDN University),No,CC BY,No
RUDN Journal of Law,2313-2337,2408-9001,"Russian, English",Peoples’ Friendship University of Russia (RUDN University),No,CC BY-NC,No
Redieluz,2244-7334,2791-3953,Spanish,"Universidad del Zulia, Vicerrectorado Académico",No,CC BY-NC-SA,No
Revista de Historia,1012-9790,2215-4744,Spanish,"Universidad Nacional, Costa Rica",No,CC BY-NC-SA,No
Agronomía Mesoamericana,1021-7444,2215-3608,Spanish,Universidad de Costa Rica,No,CC BY-NC-ND,No
Journal of Biomedical Science,1021-7770,1423-0127,English,BMC,Yes,"CC BY, CC0",No
Frontiers in Engineering and Built Environment,2634-2499,2634-2502,English,Emerald Publishing,No,CC BY,No
